OBJECTID,CUSTOMER_I,POSTAL_ARE,FULL_POSTA,REC_TYPE,GEO_LEVEL,NT_CITY,COUNTY,STATE,DISPLAY_LI,ROUTING_LI,DISPLAY_LA,DISPLAY_LO,ROUTING_LA,ROUTING_LO,HOUSE_NUMB,BUILDING_N,STREET_NAM,TMO_STREET,HDB,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,is_outlier,Longitude,Latitude,Distance to Nearest POI (m),Distance to Nearest Street (m),Number of POIs within 500m,Distance to Area Centroid (m),z_score_outlier,iqr_outlier,dbscan_outlier,lof_outlier,cluster,Anomaly Score (%),Confidence in Classification,POI Classification,Reasons for Classification
99816,237422.0,,688251.0,S,9.0,SINGAPORE,SINGAPORE,,834182565.0,834182565.0,1.39905,103.7433,1.39905,103.7432,95B,,CHOA CHU KANG WAY,CHOA CHU KANG WAY,N,-1,-1.0,-1.0,-1.0,True,103.7432,1.39905,0.004022,0.000304,2999,0.121442,False,True,True,False,-1,50.00%,Medium,INCORRECT,Isolated from other POIs; Spatial clustering outlier
33357,189497.0,,599485.0,S,8.0,SINGAPORE,SINGAPORE,,116158582.0,116158582.0,1.33036,103.77723,1.33022,103.77716,497,ROSEDALE,CLEMENTI RD,CLEMENTI RD,N,3228,0.002394,103.7764,1.32795,True,103.77716,1.33022,0.004855,0.000502,2999,0.071859,True,True,True,True,-1,100.00%,Very High,INCORRECT,Isolated from other POIs; Spatial clustering outlier
46782,160570.0,,339204.0,S,8.0,SINGAPORE,SINGAPORE,,857913956.0,857913956.0,1.31409,103.86671,1.31432,103.86663,150,,KALLANG PL,KALLANG PL,N,2162,0.001003,103.866,1.31354,True,103.86663,1.31432,0.003634,0.00042,2999,0.030285,False,True,False,True,0,45.00%,Medium,INCORRECT,Isolated from other POIs
26160,132051.0,,628379.0,S,8.0,SINGAPORE,SINGAPORE,,116147333.0,116147333.0,1.30071,103.66379,1.30042,103.66358,19,UNI-DRIVE SYSTEMS,PIONEER SECTOR 2,PIONEER SECTOR 2,N,6047,0.006163,103.6684,1.29658,True,103.66358,1.30042,0.011177,0.000416,2999,0.188848,True,True,True,True,-1,120.00%,Very High,INCORRECT,Isolated from other POIs; Spatial clustering outlier
52992,172619.0,,600056.0,S,8.0,SINGAPORE,SINGAPORE,,897555153.0,897555154.0,1.32226,103.7371,1.32233,103.73728,56,,TEBAN GARDENS RD,TEBAN GARDENS RD,Y,4018,0.001334,103.7383,1.32319,True,103.73728,1.32233,0.006389,0.000774,2999,0.112432,True,True,True,True,-1,120.00%,Very High,INCORRECT,Isolated from other POIs; Spatial clustering outlier
102633,161595.0,,637512.0,S,9.0,SINGAPORE,SINGAPORE,,866655284.0,866655284.0,1.31365,103.62739,1.31362,103.62742,67R,,TUAS SOUTH AVE 1,TUAS SOUTH AVE 1,N,4565,0.007328,103.633,1.31837,True,103.62742,1.31362,0.001655,0.00106,2999,0.222515,True,True,False,False,28,45.00%,Medium,INCORRECT,Normal spatial pattern
114394,199180.0,,470624.0,S,9.0,SINGAPORE,SINGAPORE,,939100930.0,939095319.0,1.3343,103.91638,1.33436,103.91658,624,,BEDOK RESERVOIR RD,BEDOK RESERVOIR RD,Y,5296,0.001615,103.91645,1.33275,True,103.91658,1.33436,0.004576,0.001322,2999,0.068184,True,True,False,False,0,45.00%,Medium,INCORRECT,Isolated from other POIs
52100,192700.0,,588618.0,S,8.0,SINGAPORE,SINGAPORE,,895529277.0,895529277.0,1.33878,103.789,1.33878,103.789,42,,JALAN KG CHANTEK,JALAN KG CHANTEK,N,-1,-1.0,-1.0,-1.0,True,103.789,1.33878,0.001244,0.00271,2999,0.059528,True,True,False,False,0,60.00%,Medium,INCORRECT,Far from streets
25985,135879.0,,637599.0,S,8.0,SINGAPORE,SINGAPORE,,116146885.0,116146885.0,1.29445,103.63243,1.29411,103.63313,6,EPEC,TUAS VIEW CIRT,TUAS VIEW CIRT,N,2335,0.002428,103.6315,1.29231,True,103.63313,1.29411,0.00842,0.001991,2999,0.219945,True,True,True,False,-1,110.00%,Very High,INCORRECT,Far from streets; Isolated from other POIs; Spatial clustering outlier
63099,213739.0,,550333.0,S,8.0,SINGAPORE,SINGAPORE,,923956530.0,923956530.0,1.35056,103.87055,1.35068,103.87051,333,,SERANGOON AVE 3,SERANGOON AVE 3,Y,2581,0.002429,103.8682,1.35143,True,103.87051,1.35068,0.003097,0.001191,2999,0.025082,False,True,False,True,0,45.00%,Medium,INCORRECT,Normal spatial pattern
112320,231652.0,,519325.0,S,9.0,SINGAPORE,SINGAPORE,,925414441.0,925414442.0,1.3821,103.92685,1.38257,103.92798,22,SWIFT SINGAPORE,PASIR RIS FARMWAY 2,PASIR RIS FARMWAY 2,N,5114,0.003145,103.9252,1.38404,True,103.92798,1.38257,0.000438,0.00018,2999,0.090807,False,False,True,True,-1,55.00%,Medium,INCORRECT,Spatial clustering outlier
90953,165527.0,,598001.0,S,9.0,SINGAPORE,SINGAPORE,,116144621.0,897559380.0,1.31818,103.77544,1.31876,103.77314,1J,PINE GROVE,PINE GRV,PINE GRV,N,2112,0.003395,103.776,1.32059,True,103.77314,1.31876,0.003969,0.001581,2999,0.077955,False,True,True,True,-1,75.00%,High,INCORRECT,Isolated from other POIs; Spatial clustering outlier
187,125041.0,,79213.0,S,7.0,SINGAPORE,SINGAPORE,,762651565.0,1037022641.0,1.27354,103.8507,1.27377,103.8502,20,FINGER PIER BUILDING,PRINCE EDWARD RD,PRINCE EDWARD RD,N,-1,-1.0,-1.0,-1.0,True,103.8502,1.27377,0.005479,0.001496,2999,0.064852,True,True,True,True,-1,120.00%,Very High,INCORRECT,Isolated from other POIs; Spatial clustering outlier
83294,185637.0,,629823.0,S,8.0,SINGAPORE,SINGAPORE,,984600223.0,984600223.0,1.33265,103.707,1.33308,103.70717,11,PAR INVESTMENTS,ENTERPRISE RD,ENTERPRISE RD,N,2968,0.005364,103.7097,1.32835,True,103.70717,1.33308,0.003167,0.002639,2999,0.141466,True,True,False,False,4,60.00%,Medium,INCORRECT,Far from streets
108772,196054.0,,638260.0,S,9.0,SINGAPORE,SINGAPORE,,914436474.0,914436473.0,1.338,103.69117,1.33782,103.69129,30,YUNNAN GARDENS,YUNNAN DR 1,YUNNAN DR 1,N,764,0.003207,103.6927,1.3407,True,103.69129,1.33782,0.000546,0.000122,2999,0.15724,True,True,False,False,4,45.00%,Medium,INCORRECT,Normal spatial pattern
115363,247926.0,,738781.0,S,9.0,SINGAPORE,SINGAPORE,,939789945.0,939789945.0,1.43407,103.766,1.43427,103.7658,1030,,WOODLANDS IND PARK D ST 2,WOODLANDS IND PARK D ST 2,Y,-1,-1.0,-1.0,-1.0,True,103.7658,1.43427,0.003527,0.003524,2999,0.126478,True,True,True,False,-1,90.00%,Very High,INCORRECT,Far from streets; Spatial clustering outlier
