OBJECTID,CUSTOMER_I,POSTAL_ARE,FULL_POSTA,REC_TYPE,GEO_LEVEL,NT_CITY,COUNTY,STATE,DISPLAY_LI,ROUTING_LI,DISPLAY_LA,DISPLAY_LO,ROUTING_LA,ROUTING_LO,HOUSE_NUMB,BUILDING_N,STREET_NAM,TMO_STREET,HDB,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,is_outlier,Longitude,Latitude,Distance to Nearest POI (m),Distance to Nearest Street (m),Number of POIs within 500m,Distance to Area Centroid (m),z_score_outlier,iqr_outlier,dbscan_outlier,lof_outlier,cluster,Anomaly Score (%),Confidence in Classification,POI Classification,Reasons for Classification
120731,154611.0,,429235.0,S,0.0,SINGAPORE,SINGAPORE,,116132983.0,116132983.0,1.31039,103.90621,1.31036,103.90623,73A,,DUKU RD,DUKU RD,N,257,0.001675,103.9061,1.31203,False,103.90623,1.31036,0.00082,0.000828,2999,0.064242,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
80116,247884.0,,730307.0,S,8.0,SINGAPORE,SINGAPORE,,940450439.0,940450439.0,1.42945,103.77644,1.42966,103.77648,307,,WOODLANDS AVE 1,WOODLANDS AVE 1,Y,5880,0.005353,103.7727,1.43345,False,103.77648,1.42966,0.001909,0.000361,2999,0.116116,False,False,False,False,32,0.00%,Low,CORRECT,Normal spatial pattern
11981,220196.0,,539486.0,S,8.0,SINGAPORE,SINGAPORE,,116137618.0,116137618.0,1.36045,103.89754,1.36069,103.89751,11,DEFU INDUSTRIAL PARK A,DEFU LANE 1,DEFU LANE 1,Y,1419,0.003492,103.901,1.36058,False,103.89751,1.36069,0.001401,0.001686,2999,0.053732,False,False,False,False,0,0.00%,Low,CORRECT,Far from streets
26060,133999.0,,608969.0,S,8.0,SINGAPORE,SINGAPORE,,116147010.0,116147010.0,1.30439,103.73915,1.3039,103.73909,3,COMMERCIAL SUPPLIES,TG PENJURU CRES,TG PENJURU CRES,N,216,0.00111,103.7383,1.30468,True,103.73909,1.3039,0.005076,0.002147,2999,0.114808,True,True,True,True,-1,135.00%,Very High,INCORRECT,Far from streets; Isolated from other POIs; Spatial clustering outlier
67407,181723.0,,469244.0,S,8.0,SINGAPORE,SINGAPORE,,926181627.0,926181627.0,1.32476,103.94676,1.3249,103.94675,85,LUCKY HILL,BEDOK TER,BEDOK TER,N,1495,0.001895,103.9483,1.32599,False,103.94675,1.3249,0.000597,0.000478,2999,0.099173,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
41201,244449.0,,567823.0,S,8.0,SINGAPORE,SINGAPORE,,776384719.0,776384719.0,1.37641,103.83359,1.37594,103.83387,823,HORIZON GREEN,ANG MO KIO AVE 2,ANG MO KIO AVE 2,N,571,2.8e-05,103.83389,1.37592,False,103.83387,1.37594,0.0,0.000799,2999,0.040114,False,False,False,False,5,0.00%,Low,CORRECT,Normal spatial pattern
96106,202908.0,,570108.0,S,9.0,SINGAPORE,SINGAPORE,,717423565.0,923524220.0,1.34673,103.84739,1.347,103.84762,108,BISHAN VIEW,BISHAN ST 12,BISHAN ST 12,Y,5815,0.003265,103.8491,1.34409,True,103.84762,1.347,0.0029,0.000881,2999,0.008449,False,True,False,True,0,45.00%,Medium,INCORRECT,Normal spatial pattern
59570,211139.0,,648655.0,S,8.0,SINGAPORE,SINGAPORE,,914327990.0,914327990.0,1.35259,103.69802,1.35268,103.69816,12,WESTVILLE,WESTWOOD WALK,WESTWOOD WALK,N,484,0.001532,103.697,1.35168,False,103.69816,1.35268,0.000294,0.000574,2999,0.151026,False,False,False,False,3,0.00%,Low,CORRECT,Normal spatial pattern
91125,180457.0,,329020.0,S,9.0,SINGAPORE,SINGAPORE,,116145113.0,858469824.0,1.32683,103.86476,1.32674,103.86467,82,,JALAN TAMAN,JALAN TAMAN,N,3718,0.000574,103.865,1.32627,False,103.86467,1.32674,0.001429,0.001574,2999,0.020031,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
112916,164007.0,,419979.0,S,9.0,SINGAPORE,SINGAPORE,,928358822.0,928358822.0,1.31935,103.91087,1.31935,103.91091,399E,,CHANGI RD,CHANGI RD,N,1302,0.000864,103.9116,1.31883,False,103.91091,1.31935,0.000823,0.000561,2999,0.065284,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
